INPUT  mclock 	 location (0, 16, 1) 	 J3 	 
OUTPUT Y[5] 	 location (33, 27, 1) 	 E14 	 
OUTPUT Y[1] 	 location (33, 20, 0) 	 G15 	 
OUTPUT DIGIT1 	 location (33, 31, 0) 	 D14 	 
OUTPUT Y[4] 	 location (33, 21, 0) 	 F16 	 
OUTPUT Y[0] 	 location (33, 17, 0) 	 H16 	 
OUTPUT DIGIT2 	 location (33, 24, 0) 	 D16 	 
OUTPUT Y[7] 	 location (33, 26, 0) 	 D15 	 
OUTPUT Y[3] 	 location (33, 22, 0) 	 F15 	 
OUTPUT DIGIT3 	 location (33, 28, 0) 	 C16 	 
OUTPUT Y[6] 	 location (33, 23, 0) 	 E16 	 
OUTPUT Y[2] 	 location (33, 19, 0) 	 G16 	 
OUTPUT DIGIT4 	 location (33, 30, 0) 	 B16 	 
